name,description,Spirit,Provenance,Proof,Size,Distilled,Batch,Style,image,animation_url
OPJ Gin #801,"Gm gm and THANK YOU for being a part of Overpriced JPEGs Year One. Hosting this podcast means the world to me and I owe so much to each of you who helped make it possible. 

This NFT is a collaboration between myself, the amazing Amber Vittoria, and Liquid Collections. 

Wen utility?! Very soon. This NFT entitles you to one bottle of Overpriced Jin which you can redeem at https://liquidcollections.com/collections/opj-gin-redeem in February 2023. 

It’s been a wild year in web3, so pour one out for all of us who are still here. 

xoxo Carly
",Gin,Oregon,86,750ml,2022,One,American Gin,801.jpg,https://chromapdx.github.io/Liquid-Collections-x-Overpriced-Jin/animation-prod.html?nftid=800
OPJ Gin #802,"Gm gm and THANK YOU for being a part of Overpriced JPEGs Year One. Hosting this podcast means the world to me and I owe so much to each of you who helped make it possible. 

This NFT is a collaboration between myself, the amazing Amber Vittoria, and Liquid Collections. 

Wen utility?! Very soon. This NFT entitles you to one bottle of Overpriced Jin which you can redeem at https://liquidcollections.com/collections/opj-gin-redeem in February 2023. 

It’s been a wild year in web3, so pour one out for all of us who are still here. 

xoxo Carly
",Gin,Oregon,86,750ml,2022,One,American Gin,802.jpg,https://chromapdx.github.io/Liquid-Collections-x-Overpriced-Jin/animation-prod.html?nftid=801
OPJ Gin #803,"Gm gm and THANK YOU for being a part of Overpriced JPEGs Year One. Hosting this podcast means the world to me and I owe so much to each of you who helped make it possible. 

This NFT is a collaboration between myself, the amazing Amber Vittoria, and Liquid Collections. 

Wen utility?! Very soon. This NFT entitles you to one bottle of Overpriced Jin which you can redeem at https://liquidcollections.com/collections/opj-gin-redeem in February 2023. 

It’s been a wild year in web3, so pour one out for all of us who are still here. 

xoxo Carly
",Gin,Oregon,86,750ml,2022,One,American Gin,803.jpg,https://chromapdx.github.io/Liquid-Collections-x-Overpriced-Jin/animation-prod.html?nftid=802
OPJ Gin #804,"Gm gm and THANK YOU for being a part of Overpriced JPEGs Year One. Hosting this podcast means the world to me and I owe so much to each of you who helped make it possible. 

This NFT is a collaboration between myself, the amazing Amber Vittoria, and Liquid Collections. 

Wen utility?! Very soon. This NFT entitles you to one bottle of Overpriced Jin which you can redeem at https://liquidcollections.com/collections/opj-gin-redeem in February 2023. 

It’s been a wild year in web3, so pour one out for all of us who are still here. 

xoxo Carly
",Gin,Oregon,86,750ml,2022,One,American Gin,804.jpg,https://chromapdx.github.io/Liquid-Collections-x-Overpriced-Jin/animation-prod.html?nftid=803
OPJ Gin #805,"Gm gm and THANK YOU for being a part of Overpriced JPEGs Year One. Hosting this podcast means the world to me and I owe so much to each of you who helped make it possible. 

This NFT is a collaboration between myself, the amazing Amber Vittoria, and Liquid Collections. 

Wen utility?! Very soon. This NFT entitles you to one bottle of Overpriced Jin which you can redeem at https://liquidcollections.com/collections/opj-gin-redeem in February 2023. 

It’s been a wild year in web3, so pour one out for all of us who are still here. 

xoxo Carly
",Gin,Oregon,86,750ml,2022,One,American Gin,805.jpg,https://chromapdx.github.io/Liquid-Collections-x-Overpriced-Jin/animation-prod.html?nftid=804
OPJ Gin #806,"Gm gm and THANK YOU for being a part of Overpriced JPEGs Year One. Hosting this podcast means the world to me and I owe so much to each of you who helped make it possible. 

This NFT is a collaboration between myself, the amazing Amber Vittoria, and Liquid Collections. 

Wen utility?! Very soon. This NFT entitles you to one bottle of Overpriced Jin which you can redeem at https://liquidcollections.com/collections/opj-gin-redeem in February 2023. 

It’s been a wild year in web3, so pour one out for all of us who are still here. 

xoxo Carly
",Gin,Oregon,86,750ml,2022,One,American Gin,806.jpg,https://chromapdx.github.io/Liquid-Collections-x-Overpriced-Jin/animation-prod.html?nftid=805
OPJ Gin #807,"Gm gm and THANK YOU for being a part of Overpriced JPEGs Year One. Hosting this podcast means the world to me and I owe so much to each of you who helped make it possible. 

This NFT is a collaboration between myself, the amazing Amber Vittoria, and Liquid Collections. 

Wen utility?! Very soon. This NFT entitles you to one bottle of Overpriced Jin which you can redeem at https://liquidcollections.com/collections/opj-gin-redeem in February 2023. 

It’s been a wild year in web3, so pour one out for all of us who are still here. 

xoxo Carly
",Gin,Oregon,86,750ml,2022,One,American Gin,807.jpg,https://chromapdx.github.io/Liquid-Collections-x-Overpriced-Jin/animation-prod.html?nftid=806
OPJ Gin #808,"Gm gm and THANK YOU for being a part of Overpriced JPEGs Year One. Hosting this podcast means the world to me and I owe so much to each of you who helped make it possible. 

This NFT is a collaboration between myself, the amazing Amber Vittoria, and Liquid Collections. 

Wen utility?! Very soon. This NFT entitles you to one bottle of Overpriced Jin which you can redeem at https://liquidcollections.com/collections/opj-gin-redeem in February 2023. 

It’s been a wild year in web3, so pour one out for all of us who are still here. 

xoxo Carly
",Gin,Oregon,86,750ml,2022,One,American Gin,808.jpg,https://chromapdx.github.io/Liquid-Collections-x-Overpriced-Jin/animation-prod.html?nftid=807
OPJ Gin #809,"Gm gm and THANK YOU for being a part of Overpriced JPEGs Year One. Hosting this podcast means the world to me and I owe so much to each of you who helped make it possible. 

This NFT is a collaboration between myself, the amazing Amber Vittoria, and Liquid Collections. 

Wen utility?! Very soon. This NFT entitles you to one bottle of Overpriced Jin which you can redeem at https://liquidcollections.com/collections/opj-gin-redeem in February 2023. 

It’s been a wild year in web3, so pour one out for all of us who are still here. 

xoxo Carly
",Gin,Oregon,86,750ml,2022,One,American Gin,809.jpg,https://chromapdx.github.io/Liquid-Collections-x-Overpriced-Jin/animation-prod.html?nftid=808
OPJ Gin #810,"Gm gm and THANK YOU for being a part of Overpriced JPEGs Year One. Hosting this podcast means the world to me and I owe so much to each of you who helped make it possible. 

This NFT is a collaboration between myself, the amazing Amber Vittoria, and Liquid Collections. 

Wen utility?! Very soon. This NFT entitles you to one bottle of Overpriced Jin which you can redeem at https://liquidcollections.com/collections/opj-gin-redeem in February 2023. 

It’s been a wild year in web3, so pour one out for all of us who are still here. 

xoxo Carly
",Gin,Oregon,86,750ml,2022,One,American Gin,810.jpg,https://chromapdx.github.io/Liquid-Collections-x-Overpriced-Jin/animation-prod.html?nftid=809
